謝安琪4gtv,#genre#
非凡商業台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv048
非凡新聞台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv010
客家電視台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv043
原住民族電視台,https://kaytse4gtv.koyeb.app/4gtv/273
時尚運動X,https://kaytse4gtv.koyeb.app/4gtv/277
國會頻道1,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv084
國會頻道2,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv085
第1商業台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv104
博斯高球二台,https://kaytse4gtv.koyeb.app/litv/litv-longturn06
博斯高球台,https://kaytse4gtv.koyeb.app/litv/litv-longturn05
博斯無限二台,https://kaytse4gtv.koyeb.app/litv/litv-longturn13
博斯無限台,https://kaytse4gtv.koyeb.app/litv/litv-longturn10
博斯運動一台,https://kaytse4gtv.koyeb.app/litv/litv-longturn07
博斯運動二台,https://kaytse4gtv.koyeb.app/litv/litv-longturn08
博斯網球台,https://kaytse4gtv.koyeb.app/litv/litv-longturn09
博斯魅力台,https://kaytse4gtv.koyeb.app/litv/litv-longturn04
智林體育台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv101
華視,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv041
華視新聞,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv052
視納華仁紀實頻道,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv013
超人力霸王整套看,https://kaytse4gtv.koyeb.app/4gtv/278
經典卡通台,https://kaytse4gtv.koyeb.app/4gtv/202
經典電影台,https://kaytse4gtv.koyeb.app/4gtv/201
達文西頻道,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv018
電影免費看 2台,https://kaytse4gtv.koyeb.app/4gtv/245
電影原聲台 CMusic,https://kaytse4gtv.koyeb.app/4gtv/218
靖天日本台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv047
靖天卡通台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv044
靖天育樂台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv062
靖天映畫台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv055
靖天國際台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv063
靖天資訊台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv065
靖天電影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv061
靖天綜合台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv046
靖天戲劇台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv058
靖天歡樂台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv054
靖洋卡通 Nice Bingo,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv057
靖洋戲劇台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv045
滾動力 Rollor,https://kaytse4gtv.koyeb.app/4gtv/249
精選動漫台,https://kaytse4gtv.koyeb.app/4gtv/204
影迷數位紀實台,https://kaytse4gtv.koyeb.app/4gtv/212
影迷數位電影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv011
豬哥亮歌廳秀,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv006
寰宇財經台,https://kaytse4gtv.koyeb.app/litv/litv-longturn23
寰宇新聞台,https://kaytse4gtv.koyeb.app/litv/litv-longturn14
寰宇新聞台灣台,https://kaytse4gtv.koyeb.app/litv/litv-longturn15
龍華日韓台,https://kaytse4gtv.koyeb.app/litv/litv-longturn11
龍華卡通台,https://kaytse4gtv.koyeb.app/litv/litv-longturn01
龍華偶像台,https://kaytse4gtv.koyeb.app/litv/litv-longturn12
龍華經典台,https://kaytse4gtv.koyeb.app/litv/litv-longturn21
龍華電影台,https://kaytse4gtv.koyeb.app/litv/litv-longturn03
龍華戲劇台,https://kaytse4gtv.koyeb.app/litv/litv-longturn18
戲劇免費看 1台,https://kaytse4gtv.koyeb.app/4gtv/270
戲劇免費看 2台,https://kaytse4gtv.koyeb.app/4gtv/244
韓國娛樂台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv016
鏡電視新聞台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv075
霹靂布袋戲,https://kaytse4gtv.koyeb.app/4gtv/301

央視,#genre#
1綜合,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000029752
1綜合 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000002226
1綜合 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265001
2財經,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000023315
2財經 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000014161
2財經 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000023315
CCTV 3,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000022313
CCTV 3 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265003
CCTV 4 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031102
CCTV 4 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265004
CCTV 5,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000025222
CCTV 5 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265005
CCTV 5+,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000015875
CCTV 5+ HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265016
6電影,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000001737
6電影 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000004574
6電影 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265006
CCTV 7,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000024341
CCTV 7 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000009055
CCTV 7 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265007
CCTV 8,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000001070
CCTV 8 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265008
9紀錄,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000014583
9紀錄 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000032162
9紀錄 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265009
10科教,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000023734
10科教 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000012827
10科教 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265010
CCTV 11 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031106
CCTV 11 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265011
CCTV 12,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000032494
CCTV 12 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000022586
CCTV 12 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265012
13新聞 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031108
CCTV 14,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000008170
CCTV 14 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000006673
CCTV 14 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265013
CCTV 15 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031109
