卡通頻道,#genre#
13  GINX Esports TV,https://www.4gtv.tv/channel/4gtv-4gtv053?set=1&ch=179
14  Global Trekker,https://www.4gtv.tv/channel/4gtv-live112?set=1&ch=252
15  History 歷史頻道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214
16  HITS頻道,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=186
17  KLT-靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=84
18  Lifetime 娛樂頻道,https://www.4gtv.tv/channel/4gtv-live029?set=1&ch=217
19  LiveABC互動英語頻道,https://www.4gtv.tv/channel/4gtv-live030?set=1&ch=188
20  Love Nature,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=139
21  LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=1&ch=175
22  Mezzo Live HD,https://www.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=79
23  MOMO親子台,https://www.4gtv.tv/channel/4gtv-live107?set=1&ch=231
24  MTV Live HD 音樂頻道,https://www.4gtv.tv/channel/4gtv-live025?set=1&ch=213
25  My Cinema Europe HD 我的歐洲電影,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=176
26  Nice TV 靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=119
27  Nick Jr. 兒童頻道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=219
28  Pet Club TV,https://www.4gtv.tv/channel/4gtv-live110?set=1&ch=182
29  ROCK Action,https://www.4gtv.tv/channel/4gtv-live138?set=1&ch=180
30  ROCK Entertainment,https://www.4gtv.tv/channel/4gtv-live080?set=1&ch=275
31  SBN全球財經台,https://www.4gtv.tv/channel/4gtv-live060?set=1&ch=224
32  TRACE Sport Stars,https://www.4gtv.tv/channel/4gtv-4gtv077?set=1&ch=57
33  TRACE Urban,https://www.4gtv.tv/channel/4gtv-4gtv082?set=1&ch=78
34  TV5MONDE STYLE HD 生活時尚,https://www.4gtv.tv/channel/4gtv-live122?set=1&ch=178
35  TVBS,https://www.4gtv.tv/channel/4gtv-4gtv073?set=1&ch=183
36  TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285
37  TVBS新聞,https://www.4gtv.tv/channel/4gtv-4gtv072?set=1&ch=291
38  TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227
39  TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284
40  TVBS歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184
41  VOA美國之音,https://www.4gtv.tv/channel/litv-ftv03?set=1&ch=86
42  人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=210
43  八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
44  八大綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=114
45  三立新聞iNEWS,https://www.4gtv.tv/channel/4gtv-live089?set=1&ch=229
46  三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=169
47  大愛二台,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=230
48  大愛電視,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=209
49  中天新聞台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=30
50  中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4
51  中視菁采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123
52  中視新聞,https://www.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=33
53  中視經典台,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124
54  公視戲劇,https://www.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
55  半島國際新聞台,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=85
56  尼克兒童頻道,https://www.4gtv.tv/channel/4gtv-live105?set=1&ch=185
57  民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
