4GTV豪華套餐,#genre#
48  TVBS,https://www.4gtv.tv/channel/4gtv-4gtv073?set=1&ch=183
49  東森購物二台,https://www.4gtv.tv/channel/4gtv-live046?set=1&ch=174
50  民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16
51  豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=113
52  靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=83
53  KLT-靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=84
54  Nice TV 靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=119
55  靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=88
56  TVBS歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184
57  韓國娛樂台 KMTV,https://www.4gtv.tv/channel/4gtv-live377?set=1&ch=76
58  ROCK Entertainment,https://www.4gtv.tv/channel/4gtv-live080?set=1&ch=275
59  Lifetime 娛樂頻道,https://www.4gtv.tv/channel/4gtv-live029?set=1&ch=217
60  電影原聲台CMusic,https://www.4gtv.tv/channel/4gtv-live031?set=1&ch=218
61  TRACE Urban,https://www.4gtv.tv/channel/4gtv-4gtv082?set=1&ch=78
62  MTV Live HD 音樂頻道,https://www.4gtv.tv/channel/4gtv-live025?set=1&ch=213
63  Mezzo Live HD,https://www.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=79
64  CLASSICA 古典樂,https://www.4gtv.tv/channel/4gtv-4gtv059?set=1&ch=80
65  東森購物三台,https://www.4gtv.tv/channel/4gtv-live048?set=1&ch=287
66  博斯高球台,https://www.4gtv.tv/channel/litv-longturn05?set=1&ch=48
67  博斯高球二台,https://www.4gtv.tv/channel/litv-longturn06?set=1&ch=298
68  博斯運動一台,https://www.4gtv.tv/channel/litv-longturn07?set=1&ch=50
69  博斯無限台,https://www.4gtv.tv/channel/litv-longturn10?set=1&ch=51
70  博斯網球台,https://www.4gtv.tv/channel/litv-longturn09?set=1&ch=52
71  博斯運動二台,https://www.4gtv.tv/channel/litv-longturn08?set=1&ch=299
72  博斯魅力台,https://www.4gtv.tv/channel/litv-longturn04?set=1&ch=300
73  TRACE Sport Stars,https://www.4gtv.tv/channel/4gtv-4gtv077?set=1&ch=57
74  智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=58
75  時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=69
76  車迷TV,https://www.4gtv.tv/channel/4gtv-live201?set=1&ch=160
77  GINX Esports TV,https://www.4gtv.tv/channel/4gtv-4gtv053?set=1&ch=179
78  TechStorm,https://www.4gtv.tv/channel/4gtv-live109?set=1&ch=181
79  Pet Club TV,https://www.4gtv.tv/channel/4gtv-live110?set=1&ch=182
80  民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=61
81  滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=1&ch=249
82  亞洲旅遊台,https://www.4gtv.tv/channel/litv-longturn17?set=1&ch=250
83  fun探索娛樂台,https://www.4gtv.tv/channel/4gtv-live011?set=1&ch=274
84  幸福空間居家台,https://www.4gtv.tv/channel/4gtv-live206?set=1&ch=168
85  Love Nature,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=139
86  History 歷史頻道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214
87  愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
88  LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=1&ch=175
89  TV5MONDE STYLE HD 生活時尚,https://www.4gtv.tv/channel/4gtv-live122?set=1&ch=178
90  龍華偶像台,https://www.4gtv.tv/channel/litv-longturn12?set=1&ch=296
91  公視戲劇,https://www.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
92  民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24
93  龍華戲劇台,https://www.4gtv.tv/channel/litv-longturn18?set=1&ch=23
94  HITS頻道,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=186
95  龍華日韓台,https://www.4gtv.tv/channel/litv-longturn11?set=1&ch=28
96  八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
97  霹靂布袋戲,https://www.4gtv.tv/channel/4gtv-live145?set=1&ch=301
98  靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
99  靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
100  CI 罪案偵查頻道,https://www.4gtv.tv/channel/4gtv-live027?set=1&ch=215
101  視納華仁紀實頻道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
102  影迷數位紀實台,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=212
103  金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=236
104  ROCK Action,https://www.4gtv.tv/channel/4gtv-live138?set=1&ch=180
105  采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
106  靖天映畫,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
107  靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
108  龍華電影台,https://www.4gtv.tv/channel/litv-longturn03?set=1&ch=121
109  影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
110  amc電影台,https://www.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39
111  CinemaWorld,https://www.4gtv.tv/channel/4gtv-live069?set=1&ch=225
112  My Cinema Europe HD 我的歐洲電影,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=176
113  好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=1&ch=8
114  好消息,https://www.4gtv.tv/channel/litv-ftv16?set=1&ch=9
115  大愛二台,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=230
116  人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=210
117  FRANCE24 英文台,https://www.4gtv.tv/channel/4gtv-live146?set=1&ch=316
118  半島國際新聞台,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=85
119  VOA美國之音,https://www.4gtv.tv/channel/litv-ftv03?set=1&ch=86
120  CNBC Asia 財經台,https://www.4gtv.tv/channel/4gtv-live130?set=1&ch=235
121  DW德國之聲,https://www.4gtv.tv/channel/4gtv-live071?set=1&ch=226
